Name,Items,Amount,Payment
Mike,Club,200,cash
Aleron,Room,300,credit
Chaney,Room,300,cash
Adora,Spa,300,credit
Chapin,Room,300,credit
Alavda,Retail,100,cash
Ancel,Room,300,credit
Chase,Club,200,cash
Doreen,Room,300,credit
Andrew,Lunch,50,cash
Cheney,Room,300,credit
Mike,Room,900,credit
Angevin,Room,300,credit
Dori,lunch,200,cash
Aramis,Room,300,credit
Babette,Club,400,credit
Drew,Room,100,cash
Armand,Spa,200,credit
Ciel,Room,400,credit
Bari,Club,600,cash
Elaine,Room,1500,credit
Mike,Spa,200,cash
Mike,Club,200,cash
Aleron,Room,300,credit
Chaney,Room,300,cash
Adora,Spa,300,credit
Chapin,Room,300,credit
Cheney,Club,300,cash
Mike,Room,900,credit
Angevin,Spa,300,credit
Dori,Club,200,cash
Aramis,Room,300,credit
